,203_C1_D15,204_C1_D15,207_C1_D15,208_C1_D15,209_C1_D15,303_C1_D15,304_C1_D15,305_C1_D15,302_C1_D15,401_C1_D15,402_C1_D15,403_C1_D15,101_C1_D15,102_C1_D15,103_C1_D15,104_C1_D15,108_C1_D15,112_C1_D15,117_C1_D15,118_C1_D15,123_C1_D15,124_C1_D15,128_C1_D15,129_C1_D15,130_C1_D15,131_C1_D15,133_C1_D15,134_C1_D15
BHLHE23,-0.47,-1.15,0.27,-0.78,0.48,-0.04,0.36,-0.23,0.12,0.91,0.21,-0.46,-0.1,0.01,0.94,0.42,0.39,-0.54,0.99,0.2,-1.55,0.48,0.26,0.29,-1.1,-0.68,0.03,-0.34
ARHGAP28,1.11,-0.58,-0.93,0.49,0.6,-2.76,1.54,-0.28,0.43,-0.01,-0.69,-0.09,-0.29,1.93,2.25,-0.38,0,-0.94,0,1.71,2.15,1.24,-0.32,-0.08,0.59,0.01,0.02,0
SRCIN1,-0.04,-2.12,0.22,1.67,-1.01,0.03,-0.82,0.08,-0.19,-0.49,0.28,-0.31,1.87,-2.68,-3.87,-0.34,-0.5,0.4,1.1,-0.18,0.68,-1.49,0.83,-1.7,0.79,-0.57,-0.41,1.82
SERP1,0.19,0.04,-0.32,0.03,-1.21,0.71,0.35,0.69,0,0.36,0,0.36,-0.41,-1.42,-0.1,-0.4,0.82,-0.1,0.54,0.87,-0.42,0.13,-0.05,0.12,-0.11,0.12,-0.45,-0.68
KIAA1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC392288,0.12,0.08,-0.53,0.06,0.05,0.26,-0.86,0.22,-0.25,0.08,-0.63,-0.36,-0.11,0.5,0.39,0.03,0,-0.72,0.13,0.22,-0.21,0.1,-0.08,-0.13,-0.8,-0.58,0.87,0
SLC9A8,0.34,-0.52,0.85,0.29,-0.1,0.69,-0.01,0.07,-0.58,-0.33,0.34,-0.38,0.61,0.21,-0.34,0.48,-0.81,0.34,1.6,-1.31,0.6,-0.27,-0.66,-0.2,0.7,0.24,-0.65,0.35
USP24,-0.32,1.79,0,0.9,0,0.36,0,0.68,-0.25,0,0.31,0.57,-0.26,0.05,-0.37,-0.03,0.4,0.74,-0.14,-0.94,0.14,-0.13,-0.01,-0.07,1.37,0,-0.13,0.74
LMBRD2,1.06,0.46,0,-0.41,0,0,-0.43,-0.6,0.2,0.32,0.55,-0.15,0,-0.77,0.08,-0.82,1.3,0.29,0.01,0,0.01,0,0.32,0.12,-0.47,0,-0.52,-0.61
C14orf159,0.89,1.03,-0.52,-0.6,0.38,-0.55,-0.05,-0.11,0.36,-0.13,-0.21,0.06,-0.14,0.78,0.02,-0.23,-0.59,0.41,-0.39,0,0.3,-0.17,-0.31,-0.3,-0.22,0.02,-0.56,-0.09
OR51B5,0.63,-0.57,-0.05,-0.54,0.3,-0.01,-0.34,0.07,-0.38,0.74,0.12,0.17,-0.45,-0.41,-0.58,-0.49,-0.35,-0.13,-0.07,0,-0.3,0.09,-0.27,0.49,-0.24,0.02,0.12,0.18
HS6ST2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR1F2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100506523,0.47,-0.75,0.67,0,-0.44,0.64,0,1.09,-0.93,0.26,0.44,0.22,0.77,0.58,-0.03,-0.04,1.16,0.71,0.3,-0.64,-0.51,-0.14,-0.19,-0.79,0.47,0.19,-0.99,0.86
SP3,-0.03,-0.32,-0.42,-0.04,0.36,-0.09,-0.22,0,0.2,0.41,-0.09,-0.3,-0.25,0.03,0.99,0.3,1.02,0,0.45,1.34,-0.54,0.19,-0.15,-0.13,-0.82,-0.53,-0.36,0
TPBG,0,-1.87,0.32,-0.14,-0.01,0,0.15,-1.28,0,-0.16,0.36,-0.85,1.8,-0.21,0.52,0.81,0.31,0.5,-1.87,0,0.84,-0.93,-1.13,-0.62,-0.1,0.11,-0.26,0.33
C17orf67,0,0.38,-0.65,0,-1.41,0.49,0,-0.14,1.67,0,0.03,0.13,0.23,-0.2,-0.03,-0.12,0.97,-0.18,0.82,-0.05,-0.57,0.73,-0.38,0.38,-0.07,-0.71,0.37,-0.1
LINC00265,0,-1.03,0.75,-0.95,0.28,0.22,0.7,0.46,-1.16,0.19,0.9,-0.49,0.32,0.65,0.87,0.32,-0.32,-0.37,-0.63,-0.75,-0.57,-0.42,-0.26,-0.51,-0.3,0.67,-1.73,0.68
FAM41C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCAKD,0.33,-0.02,-0.31,-0.89,0.19,0.6,-0.59,-0.66,0.44,0.25,-0.33,-0.08,-0.69,-0.12,0.03,-0.07,1.46,-0.29,0.5,1.82,-0.62,-0.27,0.14,-0.29,-0.23,-0.51,-0.02,-0.4
ALG1L,0.24,0.27,-0.74,0.85,0.25,0.8,0.31,0,-0.25,-0.37,0.77,-0.19,-0.28,-0.24,-0.52,-0.31,0,0.79,0.28,0.33,-0.3,-0.3,-0.5,-0.22,-0.17,-0.59,0.14,-0.85
FTH1,-0.39,2.37,0,0,0,-0.54,-0.34,-0.19,0.02,-0.51,-0.31,-0.03,0.73,1.17,0.2,-0.08,0.04,0.08,-0.95,0.17,0.9,0.54,-0.03,-0.02,0.32,-0.15,1.27,0.45
DCAF10,0,-0.32,0.16,-0.35,0,0.01,-0.06,0.29,-0.35,0.55,0.23,-0.05,-0.27,0.06,0.3,-0.19,0.16,0.24,0.01,0.77,-0.58,0.27,0.09,0.06,-0.71,0.26,-0.16,0.32
CHD7,0.45,-0.56,0.69,-1.94,-0.14,-0.71,0.18,0.36,-0.61,-0.7,0.18,-0.33,0.7,1.43,-0.46,0.01,1.83,-1.02,-0.18,0.02,0,0.01,0.15,-0.24,0.76,0.59,0.23,0.42
FAM73A,-0.24,0.25,-0.1,0.42,0.3,0.77,0.14,0.6,-0.07,0.33,0.3,0.4,-0.45,0.12,-0.29,-0.32,0.73,0.84,-0.19,0.1,0.48,0.13,0.7,-0.51,0.1,0.46,-0.42,-0.17
LOC100506348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOL8,-0.12,-0.15,-0.49,0.05,-0.24,-0.73,-0.29,-0.58,0,-0.12,-0.21,-0.15,0.06,0.82,0.51,-0.21,0.56,-0.28,-0.66,0.8,0.81,-0.24,-0.24,-0.55,-0.5,0.4,-0.41,-0.18
C2orf73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBA1C,-0.11,0.61,0,0,0.47,0.69,-0.52,-0.45,-0.73,-0.74,0,-0.5,-0.04,0.53,0.62,0.38,-0.17,0.41,0,-0.64,-0.09,-0.33,-0.21,0.04,0,-0.47,0.19,0.03
ZNF273,0.15,-0.48,-0.39,-0.62,0.17,-0.42,-0.21,0.76,-0.21,-0.03,-0.29,-0.18,-0.41,-0.4,-0.03,-0.67,0.23,0.35,-0.35,0.93,1.17,-0.29,-0.39,-0.41,0.16,-0.01,-0.43,0.1
TNFSF9,-0.07,0.06,-0.46,-0.57,0.46,-0.06,-0.52,-0.52,-0.46,-0.69,0.42,-0.38,-0.7,0.46,0.83,-0.24,-0.46,0.43,0.6,0,-0.01,-0.14,0.58,0,0.15,-0.23,0.47,-0.32
HR44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAMBP,-0.6,1.02,0.03,1.39,0.24,0.52,0.33,-0.13,0,-0.49,0.2,-0.63,0.19,-0.27,0.17,0.56,-1.01,0.3,0.93,0.05,0.1,-0.04,0.2,0.09,0.9,0.03,-0.02,0
GNAQ,0.08,-1.32,0.14,-1.29,0.11,-0.43,0.08,2.15,-0.93,0.63,0.37,-0.24,-0.02,0.01,0.82,0.34,0.11,-0.88,0.65,0.58,-0.56,0.49,-0.35,-0.19,-0.62,-0.02,-1.06,-0.25
TPM3,0.02,0.51,-1.01,0.59,0.01,-0.65,-0.85,0.27,0.14,-0.28,-0.24,-0.15,0.02,0.09,-0.47,0.23,-0.09,0.24,-0.46,-0.12,0.85,-0.87,-0.65,0.04,-0.1,-0.59,0.29,-0.32
DKFZP586K1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAMD1B,0.49,0.26,-0.05,-0.87,0.92,0.37,0.05,-0.04,0.83,0.54,0.17,-0.28,-0.31,1.16,0.12,-0.36,-0.02,-0.52,-0.68,0,-0.05,0.01,-0.14,0.15,-0.35,0.91,0.06,-0.57
LOC100133331,0.26,-0.36,0.57,-0.45,0.14,0.14,0.52,0.48,-0.68,-0.14,0.66,-0.28,0.29,0.38,0.15,-0.01,-0.51,0.12,-0.42,-0.62,-0.07,-0.25,-0.23,-0.01,0.34,0.71,-1.25,0.89
ALG1,0.13,0.48,-0.62,0.97,0.05,0.54,-0.12,0.86,-0.14,-0.13,0.45,-0.27,-0.55,0,-0.36,-0.52,-0.02,0.92,0.19,0.31,0.01,-0.14,-0.21,-0.41,-0.25,-0.52,0.19,-0.75
TPRG1,-2.91,-0.9,0.17,0,-1.21,1.63,-0.53,0,0,-0.7,0.34,-0.93,0.41,-1.44,-0.6,-1.71,0,3.52,-1.64,0,-2.45,-1.9,-1.75,0.07,-1.66,-2.08,-1.62,0
REG4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPEB4,1.06,-1.11,-0.02,-0.77,0.26,0.06,-0.68,0.16,-0.48,0.19,0.75,0,-0.47,-0.06,0.24,0.34,0.64,-0.91,1.33,0.66,0.15,0.01,0.68,-0.66,-1.33,-0.1,-0.63,-0.48
ZNF813,1.5,-0.84,-0.12,-0.83,-0.2,2.07,-0.16,0.08,0,0.39,0.24,0.33,0.41,-0.01,0.95,0.29,1.42,-0.49,-0.35,1.64,-0.18,0.4,0.03,-0.54,-0.7,-0.18,-0.46,-0.08
SLCO3A1,-0.31,0.23,0.36,-2.1,-0.18,-1.65,0.05,-0.12,0.94,-0.07,-0.43,0.27,-0.34,0.53,0.92,0.35,-1.58,-0.8,-0.27,0.92,-0.12,0.66,0.01,0.64,-0.29,-0.15,0.17,-0.06
KIR2DL5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF503-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3RF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDHAP1,-0.32,0.43,0.58,0.12,0.12,0.6,-0.02,-0.53,-0.84,0.07,0,-0.48,-0.07,0.16,0.73,0.5,0.61,0.26,0.17,0.78,-0.94,-0.2,-0.22,-0.28,-0.18,0.07,-0.23,-0.39
H3F3A,0.04,0,-0.49,1.2,0,-0.35,0,0,-0.01,-0.01,-0.13,0,1.04,-0.58,-0.93,0.17,1.05,0,0,-0.3,0,0,0.03,0.23,-0.16,0,0.43,-0.12
RRN3,0.08,-0.19,0.17,0.5,0.23,0,0.33,-0.17,-1.23,-0.18,0.41,0.29,0.42,0.3,0.6,0.19,-0.06,0,-0.47,0,-0.27,0.03,0,-0.6,0,0,0.16,0.75
GGTLC2,0.78,2.96,-0.2,0.52,-0.74,0.01,-0.41,0.43,-0.87,-1.15,-0.92,-1.17,1.15,0.33,-0.47,0.72,1.55,0.94,-0.03,1.03,0.42,-0.54,-0.09,0.01,-0.57,-0.86,-0.6,-0.97
DPP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB46,-0.21,0.06,1.35,-0.69,-0.12,-0.82,0.14,-0.64,0,-0.51,0.65,-0.34,-0.1,-0.1,0.34,0.51,-0.46,0.14,-0.03,-0.73,0.33,0.07,0.05,0,-0.35,0.56,1.47,-0.64
POTEF,-0.41,0.2,-0.11,-0.15,1.15,-0.27,-0.14,-0.18,-0.77,-0.15,0.23,-0.18,0.4,0.8,0.59,0.66,0.03,0.23,-0.21,-0.7,-0.82,0.28,0.2,0.93,0.38,0.08,0.81,0.14
ADAM6,0,-0.48,-0.8,0,0.15,0.01,-0.07,0.47,1.09,0.42,0,-0.52,0.04,0.11,0.4,0.02,0.61,-0.58,-0.12,0,-0.11,-0.01,-0.15,-0.04,-0.72,0,0.27,0.11
RESP18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC401320,0.63,-0.63,0,-0.13,0.17,-0.15,0.59,0.4,0,-0.24,0.64,-0.3,0.7,0.56,-0.03,0.09,0,-0.05,0,0,0.68,-0.53,-0.44,-0.3,-0.68,0.91,-0.72,0.35
LOC100507312,-1.09,-0.18,-0.25,0.3,0.08,-0.67,1.38,-0.79,-0.4,0.21,-0.11,0.81,0.7,0.09,2.11,-1.06,-1.52,-0.9,-1.06,-0.38,0.09,0.51,-0.12,-0.58,1.35,-0.5,0,0.23
DSTYK,0,0,-0.67,0.11,-0.18,-0.14,-0.39,0.09,0,-0.31,0,-0.43,0.56,-0.06,0,0.34,0,-0.12,-0.19,0,0.56,0.19,-0.18,0,-0.63,0,-0.1,-0.16
HSPC081,0.15,0.35,-0.11,-0.07,-0.33,0.07,-0.45,0.56,-0.07,0,-0.07,0.01,-0.46,-0.05,0.24,-0.51,0.11,0,-0.01,0.55,-0.14,-0.06,-0.14,-0.14,-0.58,0.24,0.15,-0.07
LOC284072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2V1,-0.14,0.06,0.29,-0.49,-0.07,0.48,-0.15,0.16,0.01,-0.01,0.16,-0.12,0.1,0.24,0.28,0.1,-0.1,0.03,0.67,-0.32,-0.08,0.19,0.15,0,0.1,0.05,-0.06,0
KIF16B,0.06,-0.54,0,-0.18,-0.14,0.85,-0.49,0.96,0.42,0.03,0.67,-0.27,-0.13,-0.74,-1.2,-0.12,-0.69,1.7,-0.28,0.96,0.54,-0.53,0.03,-0.82,-0.14,-0.6,-0.35,-1.07
C8orf60,0.55,-0.03,1.6,-0.92,0.48,-1.21,0.53,-0.48,0,-0.36,-0.01,0.01,0.23,1.38,0.47,0.7,0,0.4,-0.71,0,0.54,-0.05,0,-1.08,0.48,-0.06,-0.49,0.73
ATP11A,0,0.24,-0.64,-0.49,0.52,0,-0.52,0.39,0,-0.16,-0.12,0.59,-0.85,0.16,-0.17,-0.58,-0.4,-0.14,-0.28,0,0.72,-0.68,-0.07,0.24,0.21,0.33,0.48,0.28
FAM55B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIEZO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ36840,0.82,-0.1,1.09,0.33,-0.34,-1.72,1.74,-0.57,-0.72,-0.23,0.18,0.08,1.21,-0.2,2.02,-0.2,-0.81,-0.28,-1.67,-1.63,0.47,0.53,0.03,-1.16,0.76,1.27,-0.61,0.9
PARP11,0.52,0.32,0.25,-0.44,0,0.3,-0.07,1.02,1.16,0,-0.41,0.42,-0.18,0,-0.52,0,-0.21,0.49,0.1,0,0,-0.48,-0.01,0.18,0.34,-0.1,0.1,0.01
C20orf43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAT,1.44,-1.83,0.09,-0.88,0.92,-3.08,1.4,0.26,0.12,-1.36,1.48,0,1.75,2.61,-0.2,1.54,-0.89,-1.14,-2.58,0.42,0.75,0.98,-0.14,-1.26,1.54,0.02,-0.3,0
SYNDIG1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCB2,0.6,0.24,0.79,1.56,0.28,0.86,0.01,1.64,-0.45,-0.9,0.4,0.07,-0.41,-1.65,-1.46,-0.11,-1,0.73,0.2,0.88,0.04,-0.57,-1.1,0.14,-1.02,-0.94,-0.62,0.02
RGNEF,0.81,0.26,1.21,-0.22,0.9,0.71,0.76,-0.25,0,0,1.32,0,0.39,-0.07,-0.57,0.71,-0.63,0.55,-0.73,0,0.93,-0.11,-0.19,-0.44,0.66,1.38,-0.84,0.2
LOC400684,0,-0.02,-0.92,0.94,-0.79,1.18,-0.11,0.51,0,0.15,0.57,-0.2,0.75,-0.29,-0.63,-0.67,0.24,1.5,1.71,0.1,1.04,-0.16,0.17,-1.01,-0.04,0.28,-0.55,-0.23
FAM179A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SREK1,0.22,-0.84,0.55,-0.16,0.83,-0.6,0.97,0.89,-1.56,-0.11,1.17,-0.73,0.67,-0.16,0.59,0.33,-0.26,-0.08,0,-1.39,-0.55,-0.61,0.11,-0.51,0.16,1.11,-1.27,0.93
ATAD2,-0.3,-0.71,-0.76,-1.41,-0.17,1.08,-0.7,-0.16,-0.78,-0.1,0.14,-0.27,-1,0.62,0.01,-0.83,0.54,-0.05,1.03,0.59,0.11,0.31,0,0,-1.28,-0.58,-0.95,-0.9
LOC440104,-0.21,-0.42,0.3,-0.52,0,0.12,0.83,-0.65,-1.55,0,0.42,-0.5,-0.4,0.15,0.68,0.46,0.19,0.57,-0.12,0.86,-0.11,-0.12,0.08,-0.73,0.23,0.33,-0.36,0.55
C17orf51,-0.28,0.22,-0.14,-1.21,0,1.02,0.61,-0.73,0.53,-0.21,-0.96,0.48,-0.5,0.49,0.86,-0.33,-0.54,-1.63,1.09,0,0.49,1.01,0.37,0.42,0.38,-0.14,0.73,0.85
LOC728613,0.18,-0.33,-0.45,-2.06,-0.02,0.09,-0.48,1.5,0.04,-0.36,0.92,0.07,0.68,-1.55,-2.02,-0.33,-0.85,-0.08,1.16,-0.03,0.33,0.09,1.33,0,0.18,-0.19,0.65,-0.96
KIAA1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAK3,-0.42,-0.15,0.26,-1.28,1.61,0.2,0.5,-0.84,0.76,-1.02,1.57,0.76,-0.72,2.49,1.26,1.29,0.27,-2.47,-1,0.38,-0.16,0.32,-0.28,1.01,-0.25,0.63,-0.03,0.13
HCP5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133050,0.22,0.89,0.2,-0.01,0.29,-0.03,-0.55,-0.74,0,-0.62,0.94,-0.18,0.28,0.01,1.27,0.04,0.04,0,-0.01,0,0.04,-0.26,-0.08,0.9,-0.09,-0.76,0.07,-0.69
ITSN2,-0.1,-0.51,0.42,-0.39,0.19,-0.52,0.26,-0.17,0.21,0.14,0.81,-0.18,0.24,0.56,0.63,0.9,0.01,-0.31,-0.22,0.24,0.27,-0.05,-0.39,-0.1,-0.67,0.14,-0.89,0.17
SIAH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOT1,0.71,0.17,0.2,0.33,-0.25,0.44,-0.36,-0.48,0.05,0.37,0.15,0.37,0.18,-0.35,-0.27,0.31,-0.42,0.41,-0.25,0.83,-0.07,0,-0.22,-0.12,0.1,-0.27,-0.09,-0.34
GFAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DKFZp761P0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC102B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF216P1,-0.04,-0.35,0.03,-0.69,0.16,-0.4,0.25,0.43,0,-0.13,-0.17,0.02,0.08,0.37,0.12,-0.01,-0.58,0,0.28,-0.5,0.35,0.32,-0.27,0.03,0.05,0.19,-0.02,0.1
LAMA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSBPL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100505794,0.54,0.83,-0.68,0.11,-0.23,0.49,-0.38,0.43,0.47,0.49,0.15,0.03,-0.11,-0.93,-0.8,-0.01,-1.58,-0.14,-0.01,1,-0.38,-0.56,0.15,0.11,-0.6,-0.56,0.01,0.11
KIAA1024L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100505876,0.22,0.07,0.12,-0.46,-0.24,1.05,-0.06,0.6,0.53,0.29,0.76,0.17,-0.42,-0.2,0.34,-0.21,0.07,-0.54,0.47,0.5,-0.03,0.15,-0.07,0.04,-0.4,0.43,-0.4,-0.77
RALGAPA2,-0.36,0.82,0.64,-0.08,-0.65,0.28,-0.2,-0.95,0.12,0.17,0.33,-0.77,0.31,-0.1,-0.71,-0.68,-0.98,1.56,-0.63,-1.04,0.51,-0.2,-0.03,0.38,0.45,0.55,1.59,-0.06
TLR8-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf74,-0.5,-0.28,0.18,-0.13,0.12,0.43,0.49,-0.65,0,0.25,0.69,1.38,-0.97,-0.17,0.6,-0.69,-1.93,-0.34,0.55,0.49,0.68,0.43,-0.01,-0.73,0.58,0.93,0.02,-0.67
ASPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC23A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGPHD1,-0.34,-0.38,-0.14,-0.01,-0.89,1.01,0.34,-1.16,0.23,0.58,-0.97,0.12,-0.7,-1.34,-0.85,0.07,-0.17,0.6,-0.26,0.4,0.36,0.4,0.15,-0.01,-0.94,-0.53,-0.06,-0.68
LRRTM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD5,-0.23,-0.03,-0.26,-0.84,-0.06,0,2.57,1.44,0.98,0.92,-0.49,1.34,-0.59,-0.17,0.5,-0.38,-1.4,0.02,-0.07,0.97,-0.6,0.83,1.29,1.92,0.44,2.65,-0.37,0.44
FAM165B,-0.04,0.26,0.08,0.64,-0.2,0.32,0.41,-0.23,1.42,0,-0.49,1.18,-0.02,-0.76,-0.34,-0.07,-0.46,-0.38,1.23,0.91,-0.62,0.69,0.1,0.42,0.93,0.08,-0.02,0.83
SF3A3,-0.02,0.07,-0.14,0.34,0.34,0.14,-0.04,-0.1,-0.2,-0.04,-0.15,0.18,-0.46,0.29,0.33,-0.2,0.35,-0.08,-0.34,-0.08,-0.18,-0.13,0.04,0.21,-0.08,-0.01,0.01,-0.38
KNG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVC,0.84,-0.05,-0.58,-0.49,-0.84,-0.45,0.09,0,0,-0.4,-0.01,0.36,0.83,0.91,0.83,0.13,-0.57,-0.35,0.58,0,0.84,0.29,0.07,0.05,0.24,-0.56,1.28,0.41
PGK1,0.49,1,0.6,-0.17,0.67,0.37,-0.25,-0.42,-0.32,-0.41,0.1,0.13,0,0.42,0.76,0.83,-0.27,0.3,-0.1,-0.34,-0.73,-0.48,-0.05,0.1,-0.01,0.01,0.31,0.02
DAAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC253039,0.24,1.06,-0.5,0.55,0,0.25,-0.51,0.28,0,0,0.14,0,0.47,-0.34,0.05,0.62,0.44,0.03,-0.99,0,-1.4,0,-0.21,-0.28,0.85,0.92,0.71,0.43
PGGT1B,0.02,0.01,-0.15,0.94,0.13,0.21,-0.3,0.75,0.56,-0.19,0.12,0.35,-0.33,-0.89,-0.29,0.07,0.45,0.07,0.63,1.23,-0.55,-0.43,0.56,0.33,-0.21,0.09,0.36,-0.69
KDM4C,0.14,-0.82,-0.07,0.4,0.3,-1.84,0.11,0.82,-0.34,-0.12,0.4,-0.11,0,0.55,0.35,0.48,-0.34,-0.04,-0.69,1.31,0.48,-0.6,0.24,-0.82,0.03,0.17,-0.42,0.53
THBS2,0.91,-1.8,-1.42,-0.17,2,-3.06,-0.68,-1.68,-0.83,-0.53,-1.03,0.83,0.6,1.92,2.17,-0.78,-1.4,-1.22,-2.71,0.27,1.26,1.71,0.36,-0.07,0.69,-0.59,0,1.36
FAM74A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100507094,-0.54,-0.93,0.14,0.85,-0.6,0.46,0.44,0.79,0.14,0.39,-0.01,-0.02,0.87,-0.33,-0.65,-0.5,-0.48,-0.08,0.03,-0.85,-0.16,-0.29,0.03,-0.79,0.22,0.15,-0.79,0.33
SLC12A7,-1.05,-1.09,0.16,-0.41,0.55,0.41,-1.28,-0.17,0,-0.31,0.06,-0.41,0.79,-0.03,-0.35,1.15,0.91,0.17,0.35,0,-0.15,-0.79,0.27,0.01,-0.26,-1.03,0.51,-0.54
GGNBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPW,0.01,0.14,0.41,0.49,0.16,-0.8,0.58,2.06,-0.2,0.94,0.01,0.64,0.29,-0.84,-0.82,-1,-3.69,-1.44,0.23,-0.78,1.28,0.64,0.49,-0.19,0.91,1.11,0.37,-0.14
ITGA9,0.29,0.6,1.25,-0.69,0.7,-0.97,0.72,0.55,1.29,-0.52,-0.39,-0.11,-0.48,0.12,1.4,0.62,-0.56,-1.32,0.48,0,0,0.94,1.04,1.46,0.45,0.65,0.23,0.57
CHCHD10,-0.18,1.45,0.91,-0.93,-0.1,-0.94,0.38,-0.65,0,0.35,-0.11,-0.08,-0.56,0.34,0.18,0.11,-0.07,0.36,0.46,0.2,-0.4,0.57,0.56,0.17,-0.3,0.47,0.29,-0.04
LOC388796,0.53,0,0.33,0.4,-0.11,0.07,0,0.59,0,0.01,0.58,-0.56,0.49,0.68,0.46,-0.18,-0.89,0.32,0.53,0,0.23,-0.5,-0.07,0,0.69,0.76,-0.47,0.88
CTNNB1,0.27,-0.27,0.1,0.23,0.17,-1,0.68,-0.4,-0.47,-0.24,-0.18,0.23,0.68,0.51,0.07,-0.15,-0.41,-0.12,-0.86,-0.34,0.46,-0.21,0.26,-0.29,0.28,0.61,-0.81,0.4
